anime_id,title,score,genre
8518,Mai-Otome Special: Otome no Inori,6.51,"School, Slice of Life"
808,Bakuretsu Hunters OVA,6.66,"Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen"
6890,Ontama!,6.9,"Slice of Life, Magic, Comedy, Seinen"
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),7.93,"Drama, Psychological, School, Slice of Life"
1547,Obake no Q-tarou,6.29,"Comedy, School, Slice of Life, Supernatural"
35328,BOY&#039;s LOVE Nitro+CHiRAL,5.5,"Comedy, Parody"
32933,Xiao Yeyou,5.1,"Comedy, Fantasy, Kids"
34432,Balloon (Music),5.46,Music
37150,Douluo Dalu,7.68,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy"
4250,Kore ga UFO da! Soratobu Enban,4.85,"Sci-Fi, Space"
12663,Patalliro! Stardust Keikaku,6.84,"Adventure, Comedy, Romance, Shoujo, Shounen Ai"
13169,Buta,6.5,"Adventure, Comedy, Fantasy, Historical"
3707,Soukou Kijo Iris,6.73,Hentai
18819,Alice Tantei Kyoku,5.25,"Mystery, Kids, Fantasy"
9074,Arakawa Under the Bridge x Bridge,7.82,"Comedy, Romance, Seinen"
35503,ShoujoŠ…æKageki Revue Starlight,0,"Music, School"
446,Wei’™ Kreuz Gl’_hen,6.68,"Action, Drama, Shounen"
1379,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,7.85,"Adventure, Drama, Fantasy"
1693,Reideen,6.63,"Action, Mecha, Sci-Fi"
37789,Tenchi Muyou! Ryououki 3rd Season Picture Drama,6.4,"Slice of Life, Comedy"
22197,Yuuto-kun ga Iku Movie,4.88,"Kids, Sports"
15819,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,7.1,"Mystery, Shounen"
25441,Shin Strange+ Special,6.01,"Slice of Life, Comedy, Josei"
2476,School Days,6.02,"Harem, Drama, Romance, School"
19871,Gaist Crusher,5.91,"Action, Fantasy, Supernatural"
18,Initial D Fourth Stage,8.24,"Action, Cars, Sports, Drama, Seinen"
3194,Ningyohime Marina no Bouken,6.46,"Drama, Fantasy, Kids, Romance"
31014,Aru Zombie Shoujo no Sainan,4.78,"Action, Horror"
5060,Hetalia Axis Powers,7.68,"Comedy, Historical, Parody"
5322,Mugen Kouro,5.13,"Action, Sci-Fi, Space"
546,Wind: A Breath of Heart (TV),6.08,"Drama, Romance, School, Supernatural"
33915,Kitty-chan wo Sagase! Toyama-shi Stamp Rally,4.42,Comedy
33135,Kachikachi Yama (1940),7.11,Fantasy
10244,Ultra B: Black Hole kara no Dokusaisha BB!!,5.8,"Adventure, Comedy"
5624,Biohazard 4D-Executer,5.63,"Action, Adventure, Military, Horror"
34644,Brave Witches: Petersburg Daisenryaku,7,"Action, Military, Sci-Fi, Magic, Ecchi"
6653,Ginga Tetsudou 999: Glass no Clair,6.68,"Drama, Sci-Fi, Space"
33154,Osiris no Tenbin: Season 2,5.7,"Drama, Supernatural, Thriller"
10249,Toaru Majutsu no Index-tan II,7.09,"Comedy, Parody"
2618,Takarajima,8.09,"Adventure, Mystery, Historical, Drama"
35982,Gundam Build Fighters: GM no Gyakushuu,7.29,"Action, Sci-Fi, Mecha"
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,7.87,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi"
31599,Kaette Kite yoo Toyama kara,4.54,"Slice of Life, Mystery, Comedy"
1105,Digital Juice,5.56,"Comedy, Psychological"
31073,Show By Rock!!: Plasmagica na Gogo,5.85,Comedy
9754,Kuragehime: Eiyuu RetsudenŠ…æ,6.65,"Slice of Life, Comedy, Josei"
33217,Hikaru Genji: Paradise Ginga,5.14,"Music, Space"
14889,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,6.45,"Comedy, Ecchi, Parody, School, Shounen"
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,7.87,"Comedy, Drama, Slice of Life"
23475,Saimin Jutsu Zero Special,5.97,Hentai
1259,Saint Seiya: Tenkai-hen Josou - Overture,7.36,"Adventure, Sci-Fi, Shounen"
459,One Piece Movie 1,7.22,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen"
18533,Jungle Taitei Leo: Hon-o-ji,6.36,"Adventure, Drama"
26301,Donguri to Yamaneko (1995),4.43,"Demons, Drama, Kids"
790,Ergo Proxy,7.99,"Sci-Fi, Mystery, Psychological"
31486,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,7.16,"Comedy, Mystery, Super Power"
1130,Windaria,6.67,"Action, Drama, Fantasy, Romance, Sci-Fi"
10016,Kizuna Ichigeki,6.64,"Martial Arts, Comedy"
4918,xxxHOLiC Shunmuki,8.15,"Mystery, Comedy, Psychological, Supernatural, Drama"
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.87,"Drama, Historical, Josei"
1149,Choujuushin Gravion Zwei,6.71,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"
37208,Mo Dao Zu Shi,0,"Action, Adventure, Mystery, Comedy, Historical, Supernatural, Shounen Ai"
8290,Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,6.2,Hentai
3747,Inyouchuu The Animation,6.51,"Hentai, School, Supernatural"
30199,Hakimono to Kasa no Monogatari,5.61,"Music, Kids"
33670,Xingji Biaoche Wang,5.23,"Action, Adventure, Cars"
10218,Berserk: Ougon Jidai-hen I - Haou no Tamago,7.88,"Action, Military, Adventure, Demons, Supernatural, Fantasy, Seinen"
14837,Dragon Ball Z Movie 14: Kami to Kami,7.57,"Action, Adventure, Fantasy, Martial Arts, Shounen, Super Power"
678,Shadow Skill: Eigi,7.2,"Adventure, Fantasy, Magic, Martial Arts, Super Power, Drama, Shounen"
3761,Wanwan Sanjuushi,6.76,"Adventure, Historical"
18629,Taiheiyou ni Kakeru Niji,5.26,"Kids, Slice of Life, Drama"
8140,Konchuu Monogatari Minashigo Hutch (1989),6.45,"Adventure, Comedy, Drama"
5041,Guin Saga,7.25,"Adventure, Fantasy"
