anime_id,title,type,episodes,score,rank,popularity,favorites,genre,duration_min
20995,Himekishi Olivia,OVA,2,6.61,,5582,15,Hentai,26
10075,Naruto x UT,OVA,1,7.53,1558,2158,79,"Action, Comedy, Super Power, Martial Arts, Shounen",6
4198,Koutetsu Jeeg,TV,46,7.21,2778,7468,7,"Action, Mecha, Demons, Sci-Fi, Shounen",22
32875,Shokupan Mimi Specials,Special,4,5.5,8377,10722,0,Comedy,0.5
32502,BlazBlue: Alter Memory Specials,Special,6,6.41,5948,6965,5,Comedy,16
22663,Seiken Tsukai no World Break,TV,12,7.15,3012,547,626,"Action, Fantasy, Harem, Romance, School, Supernatural",24
33534,Curly,ONA,1,4.67,9929,12556,0,Comedy,3
951,Chibi Maruko-chan,TV,142,7.79,891,4466,62,"Comedy, Slice of Life, Shoujo",23
36760,Detective Conan: The Magician of Starlight,Movie,1,6.94,3769,7982,0,Space,25
10040,Chinpui: Eri-sama Katsudou Daishashin,Movie,1,6.03,9871,11980,0,Comedy,40
1713,Submarine Super 99,TV,13,6.41,5977,8399,1,"Action, Military, Sci-Fi, Adventure, Shounen",24
8111,Last Waltz: Hakudaku Mamire no Natsu Gasshuku,OVA,2,6.45,,5580,12,Hentai,30
28085,Wonder (Movie),Movie,1,6.26,6563,8298,9,Dementia,8
4513,Hakujaden,Movie,1,6.23,6646,6348,4,"Adventure, Fantasy, Historical, Romance",78
35079,Kino no Tabi: The Beautiful World - The Animated Series,TV,12,7.61,1329,954,410,"Action, Adventure, Slice of Life",23
36679,Kekkonshiki no Tori Movie,Special,1,3.55,10813,14065,0,Music,1
10445,Perfect Day,Music,1,7.5,1646,3843,15,Music,4
8668,Seikon no Qwaser Picture Drama,Special,16,6.06,7218,3542,6,Ecchi,2
2598,Juusenki L-Gaim,TV,54,6.91,3877,6013,12,"Action, Sci-Fi, Adventure, Space, Drama, Mecha, Shounen",24
30863,Usalullaby,Movie,1,4.96,9079,11401,0,Dementia,5
14629,Starship Troopers: Invasion,Movie,1,6.79,4375,5641,3,"Action, Military, Sci-Fi",89
2583,Soukou Kihei Votoms: The Last Red Shoulder,OVA,1,7.26,2588,6526,2,"Action, Drama, Mecha, Military, Sci-Fi",54
1293,Urusei Yatsura,TV,195,7.75,1010,1953,537,"Action, Sci-Fi, Adventure, Comedy, Drama, Romance",25
9645,Be-Bop Highschool,OVA,7,7.34,2269,6795,12,"Comedy, School, Seinen",50
34706,Hitori Shika Inai Jibun,Movie,1,3,10482,14157,0,"Historical, Kids",0
28387,Joukamachi no Dandelion,TV,12,7.31,2388,915,306,"Slice of Life, Comedy, Super Power, Seinen",24
9001,Je T&#039;aime,OVA,1,6.69,4798,5027,12,Sci-Fi,11
13171,Wasurenagumo,Movie,1,7.17,2946,2394,33,"Comedy, Supernatural",25
12079,Black???Rock Shooter,Music,1,7.21,2762,1541,343,"Action, Music",4
17823,Ikenai Boy,OVA,1,4.84,,10419,1,"Comedy, Harem, Hentai",50
7661,Giant Killing,TV,26,7.66,1194,1639,294,"Sports, Drama, Seinen",24
9091,Ikusa Otome Suvia Special,Special,1,5.88,,7290,2,"Fantasy, Hentai",3
12907,Sekiei Ayakashi Mangatan,ONA,3,5.81,7785,6043,4,"Fantasy, Historical, Supernatural",5
3223,Kiddy Grade: Truth Dawn,Movie,1,7.25,2616,5599,4,"Action, Mecha, Sci-Fi, Super Power",90
35782,Catch: Tsugi no Natsu ga Kuru You ni,Music,1,3.33,9801,14036,0,"Music, Kids",2
19685,Kanojo ga Flag wo Oraretara,TV,13,6.57,5334,848,162,"Comedy, Harem, Romance, School",24
20743,Pokemon Best Wishes! Season 2: Decolora Adventure - Dent to Takeshi! Gyarados no Gekirin!!,Special,1,6.83,4210,5087,2,"Action, Adventure, Comedy, Fantasy, Kids",23
36241,One Piece Film: Gold - Cine Mike Popcorn Kokuchi,Special,1,6.07,7184,7011,0,"Fantasy, Shounen",0.466666667
37388,Souten no Ken Re:Genesis 2nd Season,ONA,0,0,,8580,1,"Action, Historical, Martial Arts",0
28101,Obatalian,Special,1,5.08,11562,12970,0,Comedy,70
29947,Chibikuro Sambo no Tora Taiji,Movie,1,7.22,9838,12846,0,Kids,20
33986,Elite Banana Banao,ONA,0,6.46,10061,10481,1,"Slice of Life, Comedy, Parody",2
9646,Goddamn,OVA,2,5.97,7415,8286,6,"Action, Cars, Seinen, Sports",32
34548,Cheer Danshi!! Specials,Special,2,6.23,6639,6934,2,"Sports, School",0
613,Onmyou Taisenki,TV,52,7.26,2584,5099,22,"Adventure, Fantasy, Supernatural, Shounen",23
6893,Oni Chichi,OVA,2,7.35,,2021,462,Hentai,30
9455,Ninpen Manmaru,TV,30,6.37,11493,11428,0,"Comedy, Samurai, Shounen",24
32634,Okusama ga Seitokaichou!: Okusama Gekijou,Special,12,7.09,3239,3689,16,"Comedy, Shounen",0.85
3468,Maria-sama ga Miteru Specials,Special,7,7.51,1615,4290,5,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",1
8778,Avignon no Hashi de,Music,1,4.99,9037,10487,1,"Music, Kids",2
1136,Betterman,TV,26,6.7,4744,3706,68,"Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi",24
29317,Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai,Special,1,7.06,3347,1289,39,"Harem, Comedy, Romance, Ecchi",23
35235,Hitorigurashi no Shougakusei,ONA,10,6.53,5482,6607,6,"Slice of Life, Comedy",3
16928,Hiiro no Kakera: Totsugeki! Tonari no Ikemenzu,OVA,1,6.84,4146,4649,9,"Comedy, Fantasy, Shoujo",11
15541,Namanaka Hyaku Percent!: Katamusubi no Shinpa,OVA,3,6.88,,5362,24,Hentai,20
34934,Koi to Uso,TV,12,6.81,4276,553,627,"Drama, Romance, School",24
25805,Pokemon the Movie XY: Ring no Choumajin Hoopa,Movie,1,6.78,4418,3242,33,"Adventure, Kids, Fantasy",78
35029,Tensei Kendo no Harem Colosseo,OVA,0,6.74,,5872,8,"Harem, Hentai, Supernatural, Fantasy",20
1827,Seirei no Moribito,TV,26,8.21,308,630,2186,"Action, Adventure, Historical, Fantasy",25
11221,Machikado no M??rchen,OVA,1,6.42,5926,9175,1,"Music, Romance",54
6736,Mouryou no Hako Special,Special,1,6.73,4631,4760,0,"Mystery, Seinen, Supernatural, Thriller",16
18457,Hanasaka Jijii,Movie,1,5.14,8904,10046,0,"Comedy, Drama",6
920,Nurse Witch Komugi-chan Magikarte Special,Special,1,6.55,5420,5413,1,"Comedy, Magic, Parody",27
33176,Nyancos: Hello! Our Brilliant Future,OVA,1,3.54,11544,12500,0,"Sci-Fi, Space",25
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,Movie,1,7.69,1131,2133,55,"Action, Mystery, Romance, Super Power, Thriller",61
